title,authors,year,university,venue,url
Two-Level Mechatronics-Based Control Design for Concurrent Improvement of Terrain Mobility and Energy Efficiency of an Open-Link Locomotion Module,"Lin-hui Zhao, V. Vantsevich",2020,UDESC,2020 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),https://semanticscholar.org/paper/d83df1b8099162f507248dc2ba14c1b92324aa3a
Recent Advances in Mechanical Engineering,"M. Kotek, V. Kopecký",2023,UDESC,Lecture Notes in Mechanical Engineering,https://semanticscholar.org/paper/21eddb92a5a33fe6b25f4ac792ab39dddffcd58d
Mechatronics System Design for Weed Management and Soil Condition Monitoring Within the Rows of Vineyards,,2020,UDESC,International Journal of Innovative Technology and Exploring Engineering,https://semanticscholar.org/paper/27aa311ea36cfc39da354574b9bd9d7cac4ed49a
"Design of a Two-way Communication Robot for Deafblind People: Design to Improve Interaction, Inclusion and Accessibility","Angie Luisa Herrera Poma, Alexander Carlos Mendoza Puris, Jose Alexis Del Aguila Ramos, Alberto Jesus Torres Hinostroza",2024,UDESC,"International Conference on Control, Mechatronics and Automation",https://semanticscholar.org/paper/371f8e52715f52caf25b26a3d0ce6b760a245fe6
Mechatronics Development of Hexapod Robot Controlled by Bioinspired Locomotion Steps for Farmlands Visual Exploration,"Juan Carlos Suárez-Quispe, Ernesto Juan Godinez-De-La-Cruz, Wilson Marín-Quevedo, José Machuca-Mines, José Corneio, R. Barreto",2023,UDESC,"IEEE International Conference on Electrical, Computer and Communication Technologies",https://semanticscholar.org/paper/bc778b9ffc6fafa1d5efa0a2b6d8bd6cc9ae52e7
MECHANICAL ENGINEERING TECHNOLOGY: RESOURCE SAVING METHODOLOGY,"G. I. Usanov, Maxim G. Usanov, I. Usanov",2022,UDESC,Scholarly Notes of Komsomolsk-na-Amure State Technical University,https://semanticscholar.org/paper/3d8799c346e786a1fbed6a595e90d240503c7186
Mechanical and Kinematic Design of Surgical Mini Robotic Manipulator used into SP-LAP Multi-DOF Platform for Training and Simulation,"José Cornejo, Jorge A. Cornejo-Aguilar, Cristians Gonzalez, Raul Sebastian",2021,UDESC,"2021 IEEE XXVIII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",https://semanticscholar.org/paper/91f16741c192c1f1ed12f95f4ed97ec1af9b08cf
Ilmenau’s contributions to Design Science,"Günter Höhne, C. Weber, S. Husung",2024,UDESC,Design Science,https://semanticscholar.org/paper/cbba7a0aedf06ab1bab8482f5ab5a06e7bb86c62
Mechatronic Power Control Design for PT6 Engine Test Stand,"Jorge E. Cote-Ballesteros, Jhon Edisson Rodriguez-Castellanos, David Camilo Bulla Avila, Andres Felipe Espinosa Silva, Luis Efrén Barrero Páez",2024,UDESC,"2024 4th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",https://semanticscholar.org/paper/74d5b2d4d3c1da985f4831ed802e92564ff86445
Mechatronics Development of Terrestrial Mobile Robot for Exploring and Monitoring Environmental Parameters at Mine Analogue Sites using IoT Platform,"Cesar J. Muñoz Martinez, Robert Castro Salguero, R. Palomares, Jose Cornejo",2020,UDESC,"2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",https://semanticscholar.org/paper/d74ce5d023cbe444ce727137079f0fd3c56c3323
Mechatronic Design and Control of a Rigid-Soft Hybrid Knee Exoskeleton for Gait Intervention,"Zilu Wang, Zhihao Zhou, Lecheng Ruan, Xiaojie Duan, Qining Wang",2023,UDESC,IEEE/ASME transactions on mechatronics,https://semanticscholar.org/paper/ba8e75480cba94894807fe9c2aaccdbbace336ab
Mechatronic Design and Active Disturbance Rejection Control of a Bag Valve-Based Mechanical Ventilator,"Jaime Arcos-Legarda, A. Tovar",2021,UDESC,Journal of Medical Devices,https://semanticscholar.org/paper/59e9633c42c64abd3373db7b26639952f6b09975
A Bioinspired Coiled Cable-Driven Manipulator: Mechatronic Design and Kinematics Planning With Multiconstraints,"Mingrui Luo, En Li, Aoshun Zhang, Min Tan, Zize Liang",2023,UDESC,IEEE/ASME transactions on mechatronics,https://semanticscholar.org/paper/c55f2d8329322d2ef4abba55c9e7af430ef935e5
"Development of a 6 Degree of Freedom Unmanned Underwater Vehicle: Design, Construction and Real-Time Experiments","Salatiel García-Nava, Miguel Angel García-Rangel, Ángel Eduardo Zamora-Suárez, Adrian Manzanilla-Magallanes, Filiberto Muñoz, Rogelio Lozano, Agnelo Serrano-Almeida",2023,UDESC,Journal of Marine Science and Engineering,https://semanticscholar.org/paper/85f56ebf4b75e0a3fe288e06c16dd8a15b2e9115
Artificial Intelligence: Prospect in Mechanical Engineering Field—A Review,"Amit Patel, Kashyap K. Ramaiya, Chandrakant V Bhatia, H. Shah, S. Bhavsar",2020,UDESC,Lecture Notes on Data Engineering and Communications Technologies,https://semanticscholar.org/paper/14e23c68be307be319f8114de1bed3ac5997800e
Design and Implementation of a Ball-Plate Control System and Python Script for Educational Purposes in STEM Technologies,"V. Tudić, D. Kralj, J. Hoster, Tomislav Tropcic",2022,UDESC,Italian National Conference on Sensors,https://semanticscholar.org/paper/f015ef2554cd4d0e87726ac56aaadecba458ade2
Application Strategy of Mechatronics in Mechanical Design and Manufacturing,"Zhe Lin, Rongqing Fang",2021,UTFPR,Journal of Architectural Research and Development,https://semanticscholar.org/paper/a486ac48a837d2b498a2d53809ef97fae84f7aa4
Ball Launching Mechanism as a Comprehensive Platform for a Mechatronics Design Course*,"Mehrdad Moallem, A. Mohagheghi, Helen Bailey, Patrick R. Palmer",2024,UTFPR,2024 IEEE World Engineering Education Conference (EDUNINE),https://semanticscholar.org/paper/f3464782fa5301488446bc8c1e4ce0d0af843044
"Towards Mechatronics Approach of System Design, Verification and Validation for Autonomous Vehicles","Chinmay Vilas Samak, Tanmay Vilas Samak, V. Krovi",2023,UTFPR,2023 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),https://semanticscholar.org/paper/647dd9ed5b87d3cae3f714fd38830c9fb0fe9d0f
Mechanical Design of a Novel Surgical Laparoscopic Simulator for Telemedicine Assistance and Physician Training during Aerospace Applications,"José Cornejo, Jorge A. Cornejo-Aguilar, Raul Sebastian, Paul Perales, Cristians Gonzalez, M. Vargas, E. Elli",2021,UTFPR,"2021 IEEE 3rd Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)",https://semanticscholar.org/paper/15be03b404a165bf5725eba6e194237fb45c88a8
Mechatronics Design and Kinematic Simulation of a Tripteron Cartesian-Parallel Agricultural Robot Mounted on 4-Wheeled Mobile Platform to Perform Seed Sowing Activity,"Jose Cornejo, R. Palomares, Mario Hernández, Diego Magallanes, Sergio Gutierrez",2022,UTFPR,International Conference on Electrical Engineering and Information Communication Technology,https://semanticscholar.org/paper/f3db70bba958e433e38e5ab0cc70d3cb69ea37b3
ROBUST DESIGN FOR IOT – ON THE RELEVANCE OF MECHANICAL DESIGN FOR ROBUST SENSOR INTEGRATION IN CONNECTED DEVICESH.,"Herle Bagh Juul-Nyholm, T. Eifler, Martin Ebro",2020,UTFPR,Proceedings of the Design Society: DESIGN Conference,https://semanticscholar.org/paper/ba57e36b4e2baab2dce868510fbc7708086718db
Teaching Mechatronics to Non-traditional Mechanical Engineering Students - An Adaptive Approach,C. Q. Li,2021,UTFPR,Int. J. Eng. Pedagog.,https://semanticscholar.org/paper/15919e4d60a22b701c6f101036c3c8c054ca5fd4
Finite Element Simulation and Analysis of Drop Tests to Improve the Mechanical Design of a Handheld QSTM Medical Device,"Abhinaba Bhattacharjee, Terry M. Loghmani, S. Anwar",2022,UTFPR,"Volume 4: Biomedical and Biotechnology; Design, Systems, and Complexity",https://semanticscholar.org/paper/e655a390eb9282a101909eb3bb839223632022f9
Mechatronics Design and Kinematic Analysis of Mecanum Wheeled Mobile Robot for Covid-19 Disinfection with UV Rays applied on Indoor Environments,"Andy M. Reque, Edwin F. Garay, Jose Cornejo, R. Palomares",2021,UTFPR,Sciences and Humanities International Research Conference,https://semanticscholar.org/paper/0f8fa6df5c4a51dea794970a076636207cb4bdd3
The intersection of mechatronics and precision engineering: Synergies and future directions,"Adeniyi Kehinde Adeleke, Kehinde Andrew Olu-lawal, Danny Jose Portillo Montero, Oladiran Kayode Olajiga, Emmanuel Chigozie Ani",2024,UTFPR,International Journal of Science and Research Archive,https://semanticscholar.org/paper/6b6cb9e4533b673a1ea64620915b5adac69ad170
Development of a Mechatronics System Design Course,"Benjamin D. McPheron, Kenneth Parson, M. Stein",2021,UTFPR,2021 Illinois-Indiana Regional Conference Proceedings,https://semanticscholar.org/paper/5eb61001b3dda93e3ddc5f45c4d9b896d0a67e4a
Improving a practical course assignment for mechatronics education,"J. Alatalo, J. Torvela, Toni Liedes",2024,UTFPR,International Journal of Mechanical Engineering Education,https://semanticscholar.org/paper/290cdb0fef41e09e729aace518414aecf9756dab
Mechatronics Design and Simulation of Anthropomorphic Robotic Arm mounted on Wheelchair for Supporting Patients with Spastic Cerebral Palsy,"Diego A. Rozas Llontop, Jose Cornejo, R. Palomares, Jorge A. Cornejo-Aguilar",2020,UTFPR,2020 IEEE International Conference on Engineering Veracruz (ICEV),https://semanticscholar.org/paper/651f5b223d195dd31f2b865b2ad6210774716059
Mechatronics Design and Kinematic Simulation of UTP-ISR01 Robot with 6-DOF Anthropomorphic Configuration for Flexible Wall Painting,"J. Cornejo, Juan Palacios, Antonio Escobar, Yordan Torres",2022,UTFPR,International Conference on Electrical Engineering and Information Communication Technology,https://semanticscholar.org/paper/a2bd87803a627f2d692584b49793ce98de2f88e1
Research on Performance Optimization and Fault Diagnosis System of Fuel Handling Equipment under Mechatronics,"Minggang Li, Xianjun Song, Xiaolei Zhao, Qingming Wang, Xincai Chang",2024,UTFPR,"2024 2nd International Conference on Mechatronics, IoT and Industrial Informatics (ICMIII)",https://semanticscholar.org/paper/d31fc8d2a492ffa136994deb0ef1928e22653b0c
Bio-Inspired Conceptual Mechanical Design and Control of a New Human Upper Limb Exoskeleton,"N. Zakaryan, M. Harutyunyan, Yuri Sargsyan",2021,UTFPR,Robotics,https://semanticscholar.org/paper/19fbf1f0e9511dd383fe6fa94949104880116395
”Just in Time” Mechatronics in Senior Design Capstones,"Dr. Robert J. Rabb, The Citadel, James Righter",2020,UTFPR,,https://semanticscholar.org/paper/39c333daa2fce1e584ef675e7714656678f5dc84
Mechatronics: A Study on Its Scientific Constitution and Association with Innovative Products,"Ana Carolina Cintra Faria, S. Barbalho",2023,UTFPR,Applied System Innovation,https://semanticscholar.org/paper/71744dbbbbf73ff8104479ceaafac202645c94d4
Two-Level Mechatronics-Based Control Design for Concurrent Improvement of Terrain Mobility and Energy Efficiency of an Open-Link Locomotion Module,"Lin-hui Zhao, V. Vantsevich",2020,UTFPR,2020 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),https://semanticscholar.org/paper/d83df1b8099162f507248dc2ba14c1b92324aa3a
Recent Advances in Mechanical Engineering,"M. Kotek, V. Kopecký",2023,UTFPR,Lecture Notes in Mechanical Engineering,https://semanticscholar.org/paper/21eddb92a5a33fe6b25f4ac792ab39dddffcd58d
Mechatronics System Design for Weed Management and Soil Condition Monitoring Within the Rows of Vineyards,,2020,UTFPR,International Journal of Innovative Technology and Exploring Engineering,https://semanticscholar.org/paper/27aa311ea36cfc39da354574b9bd9d7cac4ed49a
"Design of a Two-way Communication Robot for Deafblind People: Design to Improve Interaction, Inclusion and Accessibility","Angie Luisa Herrera Poma, Alexander Carlos Mendoza Puris, Jose Alexis Del Aguila Ramos, Alberto Jesus Torres Hinostroza",2024,UTFPR,"International Conference on Control, Mechatronics and Automation",https://semanticscholar.org/paper/371f8e52715f52caf25b26a3d0ce6b760a245fe6
Mechatronics Development of Hexapod Robot Controlled by Bioinspired Locomotion Steps for Farmlands Visual Exploration,"Juan Carlos Suárez-Quispe, Ernesto Juan Godinez-De-La-Cruz, Wilson Marín-Quevedo, José Machuca-Mines, José Corneio, R. Barreto",2023,UTFPR,"IEEE International Conference on Electrical, Computer and Communication Technologies",https://semanticscholar.org/paper/bc778b9ffc6fafa1d5efa0a2b6d8bd6cc9ae52e7
MECHANICAL ENGINEERING TECHNOLOGY: RESOURCE SAVING METHODOLOGY,"G. I. Usanov, Maxim G. Usanov, I. Usanov",2022,UTFPR,Scholarly Notes of Komsomolsk-na-Amure State Technical University,https://semanticscholar.org/paper/3d8799c346e786a1fbed6a595e90d240503c7186
Mechanical and Kinematic Design of Surgical Mini Robotic Manipulator used into SP-LAP Multi-DOF Platform for Training and Simulation,"José Cornejo, Jorge A. Cornejo-Aguilar, Cristians Gonzalez, Raul Sebastian",2021,UTFPR,"2021 IEEE XXVIII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",https://semanticscholar.org/paper/91f16741c192c1f1ed12f95f4ed97ec1af9b08cf
Ilmenau’s contributions to Design Science,"Günter Höhne, C. Weber, S. Husung",2024,UTFPR,Design Science,https://semanticscholar.org/paper/cbba7a0aedf06ab1bab8482f5ab5a06e7bb86c62
Mechatronic Power Control Design for PT6 Engine Test Stand,"Jorge E. Cote-Ballesteros, Jhon Edisson Rodriguez-Castellanos, David Camilo Bulla Avila, Andres Felipe Espinosa Silva, Luis Efrén Barrero Páez",2024,UTFPR,"2024 4th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",https://semanticscholar.org/paper/74d5b2d4d3c1da985f4831ed802e92564ff86445
Mechatronics Development of Terrestrial Mobile Robot for Exploring and Monitoring Environmental Parameters at Mine Analogue Sites using IoT Platform,"Cesar J. Muñoz Martinez, Robert Castro Salguero, R. Palomares, Jose Cornejo",2020,UTFPR,"2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",https://semanticscholar.org/paper/d74ce5d023cbe444ce727137079f0fd3c56c3323
Mechatronic Design and Control of a Rigid-Soft Hybrid Knee Exoskeleton for Gait Intervention,"Zilu Wang, Zhihao Zhou, Lecheng Ruan, Xiaojie Duan, Qining Wang",2023,UTFPR,IEEE/ASME transactions on mechatronics,https://semanticscholar.org/paper/ba8e75480cba94894807fe9c2aaccdbbace336ab
Mechatronic Design and Active Disturbance Rejection Control of a Bag Valve-Based Mechanical Ventilator,"Jaime Arcos-Legarda, A. Tovar",2021,UTFPR,Journal of Medical Devices,https://semanticscholar.org/paper/59e9633c42c64abd3373db7b26639952f6b09975
A Bioinspired Coiled Cable-Driven Manipulator: Mechatronic Design and Kinematics Planning With Multiconstraints,"Mingrui Luo, En Li, Aoshun Zhang, Min Tan, Zize Liang",2023,UTFPR,IEEE/ASME transactions on mechatronics,https://semanticscholar.org/paper/c55f2d8329322d2ef4abba55c9e7af430ef935e5
"Development of a 6 Degree of Freedom Unmanned Underwater Vehicle: Design, Construction and Real-Time Experiments","Salatiel García-Nava, Miguel Angel García-Rangel, Ángel Eduardo Zamora-Suárez, Adrian Manzanilla-Magallanes, Filiberto Muñoz, Rogelio Lozano, Agnelo Serrano-Almeida",2023,UTFPR,Journal of Marine Science and Engineering,https://semanticscholar.org/paper/85f56ebf4b75e0a3fe288e06c16dd8a15b2e9115
Artificial Intelligence: Prospect in Mechanical Engineering Field—A Review,"Amit Patel, Kashyap K. Ramaiya, Chandrakant V Bhatia, H. Shah, S. Bhavsar",2020,UTFPR,Lecture Notes on Data Engineering and Communications Technologies,https://semanticscholar.org/paper/14e23c68be307be319f8114de1bed3ac5997800e
Design and Implementation of a Ball-Plate Control System and Python Script for Educational Purposes in STEM Technologies,"V. Tudić, D. Kralj, J. Hoster, Tomislav Tropcic",2022,UTFPR,Italian National Conference on Sensors,https://semanticscholar.org/paper/f015ef2554cd4d0e87726ac56aaadecba458ade2
Application Strategy of Mechatronics in Mechanical Design and Manufacturing,"Zhe Lin, Rongqing Fang",2021,UTFMG,Journal of Architectural Research and Development,https://semanticscholar.org/paper/a486ac48a837d2b498a2d53809ef97fae84f7aa4
Ball Launching Mechanism as a Comprehensive Platform for a Mechatronics Design Course*,"Mehrdad Moallem, A. Mohagheghi, Helen Bailey, Patrick R. Palmer",2024,UTFMG,2024 IEEE World Engineering Education Conference (EDUNINE),https://semanticscholar.org/paper/f3464782fa5301488446bc8c1e4ce0d0af843044
Mechanical Design of a Novel Surgical Laparoscopic Simulator for Telemedicine Assistance and Physician Training during Aerospace Applications,"José Cornejo, Jorge A. Cornejo-Aguilar, Raul Sebastian, Paul Perales, Cristians Gonzalez, M. Vargas, E. Elli",2021,UTFMG,"2021 IEEE 3rd Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)",https://semanticscholar.org/paper/15be03b404a165bf5725eba6e194237fb45c88a8
"Towards Mechatronics Approach of System Design, Verification and Validation for Autonomous Vehicles","Chinmay Vilas Samak, Tanmay Vilas Samak, V. Krovi",2023,UTFMG,2023 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),https://semanticscholar.org/paper/647dd9ed5b87d3cae3f714fd38830c9fb0fe9d0f
Mechatronics Design and Kinematic Simulation of a Tripteron Cartesian-Parallel Agricultural Robot Mounted on 4-Wheeled Mobile Platform to Perform Seed Sowing Activity,"Jose Cornejo, R. Palomares, Mario Hernández, Diego Magallanes, Sergio Gutierrez",2022,UTFMG,International Conference on Electrical Engineering and Information Communication Technology,https://semanticscholar.org/paper/f3db70bba958e433e38e5ab0cc70d3cb69ea37b3
Finite Element Simulation and Analysis of Drop Tests to Improve the Mechanical Design of a Handheld QSTM Medical Device,"Abhinaba Bhattacharjee, Terry M. Loghmani, S. Anwar",2022,UTFMG,"Volume 4: Biomedical and Biotechnology; Design, Systems, and Complexity",https://semanticscholar.org/paper/e655a390eb9282a101909eb3bb839223632022f9
Teaching Mechatronics to Non-traditional Mechanical Engineering Students - An Adaptive Approach,C. Q. Li,2021,UTFMG,Int. J. Eng. Pedagog.,https://semanticscholar.org/paper/15919e4d60a22b701c6f101036c3c8c054ca5fd4
ROBUST DESIGN FOR IOT – ON THE RELEVANCE OF MECHANICAL DESIGN FOR ROBUST SENSOR INTEGRATION IN CONNECTED DEVICESH.,"Herle Bagh Juul-Nyholm, T. Eifler, Martin Ebro",2020,UTFMG,Proceedings of the Design Society: DESIGN Conference,https://semanticscholar.org/paper/ba57e36b4e2baab2dce868510fbc7708086718db
Bio-Inspired Conceptual Mechanical Design and Control of a New Human Upper Limb Exoskeleton,"N. Zakaryan, M. Harutyunyan, Yuri Sargsyan",2021,UTFMG,Robotics,https://semanticscholar.org/paper/19fbf1f0e9511dd383fe6fa94949104880116395
Mechatronics Design and Kinematic Simulation of UTP-ISR01 Robot with 6-DOF Anthropomorphic Configuration for Flexible Wall Painting,"J. Cornejo, Juan Palacios, Antonio Escobar, Yordan Torres",2022,UTFMG,International Conference on Electrical Engineering and Information Communication Technology,https://semanticscholar.org/paper/a2bd87803a627f2d692584b49793ce98de2f88e1
Mechatronics Design and Kinematic Analysis of Mecanum Wheeled Mobile Robot for Covid-19 Disinfection with UV Rays applied on Indoor Environments,"Andy M. Reque, Edwin F. Garay, Jose Cornejo, R. Palomares",2021,UTFMG,Sciences and Humanities International Research Conference,https://semanticscholar.org/paper/0f8fa6df5c4a51dea794970a076636207cb4bdd3
The intersection of mechatronics and precision engineering: Synergies and future directions,"Adeniyi Kehinde Adeleke, Kehinde Andrew Olu-lawal, Danny Jose Portillo Montero, Oladiran Kayode Olajiga, Emmanuel Chigozie Ani",2024,UTFMG,International Journal of Science and Research Archive,https://semanticscholar.org/paper/6b6cb9e4533b673a1ea64620915b5adac69ad170
Development of a Mechatronics System Design Course,"Benjamin D. McPheron, Kenneth Parson, M. Stein",2021,UTFMG,2021 Illinois-Indiana Regional Conference Proceedings,https://semanticscholar.org/paper/5eb61001b3dda93e3ddc5f45c4d9b896d0a67e4a
Mechatronics Design and Simulation of Anthropomorphic Robotic Arm mounted on Wheelchair for Supporting Patients with Spastic Cerebral Palsy,"Diego A. Rozas Llontop, Jose Cornejo, R. Palomares, Jorge A. Cornejo-Aguilar",2020,UTFMG,2020 IEEE International Conference on Engineering Veracruz (ICEV),https://semanticscholar.org/paper/651f5b223d195dd31f2b865b2ad6210774716059
Improving a practical course assignment for mechatronics education,"J. Alatalo, J. Torvela, Toni Liedes",2024,UTFMG,International Journal of Mechanical Engineering Education,https://semanticscholar.org/paper/290cdb0fef41e09e729aace518414aecf9756dab
Research on Performance Optimization and Fault Diagnosis System of Fuel Handling Equipment under Mechatronics,"Minggang Li, Xianjun Song, Xiaolei Zhao, Qingming Wang, Xincai Chang",2024,UTFMG,"2024 2nd International Conference on Mechatronics, IoT and Industrial Informatics (ICMIII)",https://semanticscholar.org/paper/d31fc8d2a492ffa136994deb0ef1928e22653b0c
”Just in Time” Mechatronics in Senior Design Capstones,"Dr. Robert J. Rabb, The Citadel, James Righter",2020,UTFMG,,https://semanticscholar.org/paper/39c333daa2fce1e584ef675e7714656678f5dc84
Mechatronics: A Study on Its Scientific Constitution and Association with Innovative Products,"Ana Carolina Cintra Faria, S. Barbalho",2023,UTFMG,Applied System Innovation,https://semanticscholar.org/paper/71744dbbbbf73ff8104479ceaafac202645c94d4
Two-Level Mechatronics-Based Control Design for Concurrent Improvement of Terrain Mobility and Energy Efficiency of an Open-Link Locomotion Module,"Lin-hui Zhao, V. Vantsevich",2020,UTFMG,2020 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),https://semanticscholar.org/paper/d83df1b8099162f507248dc2ba14c1b92324aa3a
Mechatronics System Design for Weed Management and Soil Condition Monitoring Within the Rows of Vineyards,,2020,UTFMG,International Journal of Innovative Technology and Exploring Engineering,https://semanticscholar.org/paper/27aa311ea36cfc39da354574b9bd9d7cac4ed49a
Mechanical and Kinematic Design of Surgical Mini Robotic Manipulator used into SP-LAP Multi-DOF Platform for Training and Simulation,"José Cornejo, Jorge A. Cornejo-Aguilar, Cristians Gonzalez, Raul Sebastian",2021,UTFMG,"2021 IEEE XXVIII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",https://semanticscholar.org/paper/91f16741c192c1f1ed12f95f4ed97ec1af9b08cf
Recent Advances in Mechanical Engineering,"M. Kotek, V. Kopecký",2023,UTFMG,Lecture Notes in Mechanical Engineering,https://semanticscholar.org/paper/21eddb92a5a33fe6b25f4ac792ab39dddffcd58d
Mechatronics Development of Hexapod Robot Controlled by Bioinspired Locomotion Steps for Farmlands Visual Exploration,"Juan Carlos Suárez-Quispe, Ernesto Juan Godinez-De-La-Cruz, Wilson Marín-Quevedo, José Machuca-Mines, José Corneio, R. Barreto",2023,UTFMG,"IEEE International Conference on Electrical, Computer and Communication Technologies",https://semanticscholar.org/paper/bc778b9ffc6fafa1d5efa0a2b6d8bd6cc9ae52e7
Mechatronic Design and Active Disturbance Rejection Control of a Bag Valve-Based Mechanical Ventilator,"Jaime Arcos-Legarda, A. Tovar",2021,UTFMG,Journal of Medical Devices,https://semanticscholar.org/paper/59e9633c42c64abd3373db7b26639952f6b09975
"Design of a Two-way Communication Robot for Deafblind People: Design to Improve Interaction, Inclusion and Accessibility","Angie Luisa Herrera Poma, Alexander Carlos Mendoza Puris, Jose Alexis Del Aguila Ramos, Alberto Jesus Torres Hinostroza",2024,UTFMG,"International Conference on Control, Mechatronics and Automation",https://semanticscholar.org/paper/371f8e52715f52caf25b26a3d0ce6b760a245fe6
MECHANICAL ENGINEERING TECHNOLOGY: RESOURCE SAVING METHODOLOGY,"G. I. Usanov, Maxim G. Usanov, I. Usanov",2022,UTFMG,Scholarly Notes of Komsomolsk-na-Amure State Technical University,https://semanticscholar.org/paper/3d8799c346e786a1fbed6a595e90d240503c7186
Ilmenau’s contributions to Design Science,"Günter Höhne, C. Weber, S. Husung",2024,UTFMG,Design Science,https://semanticscholar.org/paper/cbba7a0aedf06ab1bab8482f5ab5a06e7bb86c62
Mechatronic Power Control Design for PT6 Engine Test Stand,"Jorge E. Cote-Ballesteros, Jhon Edisson Rodriguez-Castellanos, David Camilo Bulla Avila, Andres Felipe Espinosa Silva, Luis Efrén Barrero Páez",2024,UTFMG,"2024 4th International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",https://semanticscholar.org/paper/74d5b2d4d3c1da985f4831ed802e92564ff86445
Mechatronics Development of Terrestrial Mobile Robot for Exploring and Monitoring Environmental Parameters at Mine Analogue Sites using IoT Platform,"Cesar J. Muñoz Martinez, Robert Castro Salguero, R. Palomares, Jose Cornejo",2020,UTFMG,"2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)",https://semanticscholar.org/paper/d74ce5d023cbe444ce727137079f0fd3c56c3323
Mechatronic Design and Control of a Rigid-Soft Hybrid Knee Exoskeleton for Gait Intervention,"Zilu Wang, Zhihao Zhou, Lecheng Ruan, Xiaojie Duan, Qining Wang",2023,UTFMG,IEEE/ASME transactions on mechatronics,https://semanticscholar.org/paper/ba8e75480cba94894807fe9c2aaccdbbace336ab
A Bioinspired Coiled Cable-Driven Manipulator: Mechatronic Design and Kinematics Planning With Multiconstraints,"Mingrui Luo, En Li, Aoshun Zhang, Min Tan, Zize Liang",2023,UTFMG,IEEE/ASME transactions on mechatronics,https://semanticscholar.org/paper/c55f2d8329322d2ef4abba55c9e7af430ef935e5
Bio-inspired design of hard-bodied mobile robots based on arthropod morphologies: a 10 year systematic review and bibliometric analysis,"José Cornejo, J. Sierra-García, F. Gomez-Gil, Alfredo Weitzenfeld, F. Acevedo, Ignacio Escalante, Ernesto Recuero, Ingo S Wehrtmann",2024,UTFMG,Bioinspiration & Biomimetics,https://semanticscholar.org/paper/cc74c87c0b53f60d534329ef3ba30abeb367003d
"Development of a 6 Degree of Freedom Unmanned Underwater Vehicle: Design, Construction and Real-Time Experiments","Salatiel García-Nava, Miguel Angel García-Rangel, Ángel Eduardo Zamora-Suárez, Adrian Manzanilla-Magallanes, Filiberto Muñoz, Rogelio Lozano, Agnelo Serrano-Almeida",2023,UTFMG,Journal of Marine Science and Engineering,https://semanticscholar.org/paper/85f56ebf4b75e0a3fe288e06c16dd8a15b2e9115
M-ARM: An automated systematic approach for generating new variant design options from an existing product family,"Foo Shing Wong, David C. Wynn",2024,UTFMG,Research in Engineering Design,https://semanticscholar.org/paper/506fc7f61c3703513fdbe8d159bcd5dbe4adf22b
Artificial Intelligence: Prospect in Mechanical Engineering Field—A Review,"Amit Patel, Kashyap K. Ramaiya, Chandrakant V Bhatia, H. Shah, S. Bhavsar",2020,UTFMG,Lecture Notes on Data Engineering and Communications Technologies,https://semanticscholar.org/paper/14e23c68be307be319f8114de1bed3ac5997800e
"A mechatronics data collection, image processing, and deep learning platform for clinical posture analysis: a technical note","Z. Salahzadeh, Peyman Rezaei-Hachesu, Yousef Gheibi, Ali Aghamali, Hamed Pakzad, Saeideh Foladlou, Taha Samad-Soltani",2021,UTFMG,Physical and Engineering Sciences in Medicine,https://semanticscholar.org/paper/67291bdd8d5bbc8b08750ced1b4845eb7ce7de72
Book Review of Mechatronic System Design,Chuhan Ji,2025,UTFMG,Frontiers of Chinese Mechanical Engineering and Technology,https://semanticscholar.org/paper/af6855c8b9908c2528c195d474aafd6edf418ff2
Application Strategy of Mechatronics in Mechanical Design and Manufacturing,"Zhe Lin, Rongqing Fang",2021,UTFSC,Journal of Architectural Research and Development,https://semanticscholar.org/paper/a486ac48a837d2b498a2d53809ef97fae84f7aa4
Ball Launching Mechanism as a Comprehensive Platform for a Mechatronics Design Course*,"Mehrdad Moallem, A. Mohagheghi, Helen Bailey, Patrick R. Palmer",2024,UTFSC,2024 IEEE World Engineering Education Conference (EDUNINE),https://semanticscholar.org/paper/f3464782fa5301488446bc8c1e4ce0d0af843044
